"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","58.41","","","","2"
"2002","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","0.00","","","","2"
"2003","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","0.00","","","","2"
"2004","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","0.00","","","","2"
"2005","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","0.00","","","","2"
"2006","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2007","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2008","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2009","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2010","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2011","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2012","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2013","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2014","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2015","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2016","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2017","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2018","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2019","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2020","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2021","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2022","Asbestos, Quebec, municipal [24011]","2021A002524011","Crime severity index","Index","160","units","0","v65968241","4.1","","..","","","2"
"2001","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","75.43","","","","2"
"2002","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","0.00","","","","2"
