"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","459869","","","","0"
"2022","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","480582","","","","0"
"2001","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","123093","","","","0"
"2002","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","124560","","","","0"
"2003","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","126103","","","","0"
"2004","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","127702","","","","0"
"2005","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","128823","","","","0"
"2006","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","130507","","","","0"
"2007","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","132060","","","","0"
"2008","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","133860","","","","0"
"2009","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","136211","","","","0"
"2010","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","138425","","","","0"
"2011","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","140698","","","","0"
"2012","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","142871","","","","0"
"2013","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","144217","","","","0"
"2014","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","145708","","","","0"
"2015","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","146367","","","","0"
"2016","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","148467","","","","0"
"2017","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","150438","","","","0"
"2018","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","152560","","","","0"
"2019","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","155891","","","","0"
"2020","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","159177","","","","0"
"2021","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","162824","","","","0"
"2022","Moncton (CMA), New Brunswick","2016S0503305","Both sexes","All ages","Persons","249","units","0","v1060775461","13.1.1","171608","","","","0"
"2001","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","127363","","","","0"
"2002","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","127031","","","","0"
"2003","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","126858","","","","0"
"2004","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","126702","","","","0"
"2005","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","126186","","","","0"
"2006","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","126151","","","","0"
"2007","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","126700","","","","0"
"2008","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","127554","","","","0"
"2009","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","128691","","","","0"
"2010","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","129425","","","","0"
"2011","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","129927","","","","0"
"2012","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","129755","","","","0"
"2013","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","129196","","","","0"
"2014","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","128543","","","","0"
"2015","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","128282","","","","0"
"2016","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","128926","","","","0"
"2017","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","129483","","","","0"
"2018","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","130250","","","","0"
"2019","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","131089","","","","0"
"2020","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","131935","","","","0"
"2021","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","132761","","","","0"
"2022","Saint John (CMA), New Brunswick","2016S0503310","Both sexes","All ages","Persons","249","units","0","v1060775791","14.1.1","135622","","","","0"
