location,province,csi,population_density
Bay St. George,NL,106.3,#N/A
Black Lake,SK,"1,237.2",#N/A
Caraquet,NB,79.5,#N/A
Lake Cowichan,BC,98.2,#N/A
Oxford (East Zorra-Tavistock),ON,25.7,#N/A
Channel-Port aux Basques,NL,43.2,#N/A
Renfrew (Admaston/Bromley),ON,27.9,#N/A
Clinton,BC,91.7,#N/A
Fort Macleod,AB,133.7,#N/A
Oxford (Norwich),ON,32.1,#N/A
Grande Cache,AB,192.2,#N/A
Enderby,BC,92.0,#N/A
Marathon,ON,45.7,#N/A
Marathon (Manitouwadge),ON,68.7,#N/A
Dufferin (Melancthon),ON,39.5,#N/A
Inuvik,NWT,497.5,#N/A
Huron (Huron/Wingham),ON,54.9,#N/A
Bonavista,NL,93.6,#N/A
Carmanville,NL,34.6,#N/A
Carman Area,MB,24.0,#N/A
Stl'atl'imx Tribal (Lillooet-Pemberton),BC,135.4,#N/A
Pemberton,BC,53.6,#N/A
Dufferin (Amaranth),ON,26.0,#N/A
Kindersley,SK,76.8,#N/A
Three Hills,AB,175.9,#N/A
Tisdale,SK,106.4,#N/A
Mackenzie,BC,188.8,#N/A
Princeton,BC,97.5,#N/A
Côte-de-Gaspé Region,QC,56.8,#N/A
Arviat,NU,213.7,#N/A
Dufferin (East Garafraxa),ON,27.6,#N/A
Dufferin (Town of Grand Valley),ON,26.6,#N/A
Rankin Inlet,NU,444.5,#N/A
Marystown,NL,77.7,#N/A
Pictou County,NS,73.1,#N/A
Pictou,NS,161.6,#N/A
Killarney,MB,41.8,#N/A
Moosomin,SK,63.0,#N/A
Superior East (Wawa),ON,111.1,#N/A
Fairview,AB,98.7,#N/A
Turner Valley,AB,78.4,#N/A
Unity,SK,77.8,#N/A
Lunenburg County,NS,67.5,#N/A
Tumbler Ridge,BC,48.1,#N/A
Rosetown,SK,50.7,#N/A
Hay River,NWT,415.2,#N/A
Chase,BC,101.9,#N/A
Colchester County,NS,63.6,#N/A
Assiniboia,SK,52.0,#N/A
Rimbey,AB,111.9,#N/A
Beaverlodge,AB,124.9,#N/A
Hanna,AB,79.7,#N/A
Port McNeill,BC,96.3,#N/A
Tofino,BC,144.8,#N/A
Esterhazy,SK,56.2,#N/A
Springdale,NL,48.2,#N/A
Maple Creek,SK,72.1,#N/A
Lac La Biche,AB,240.5,#N/A
Pelican Narrows,SK,"1,002.6",#N/A
Twillingate,NL,51.6,#N/A
Burns Lake,BC,109.9,#N/A
Outlook,SK,35.2,#N/A
Portneuf Region,QC,43.6,#N/A
Houston,BC,173.7,#N/A
High Prairie,AB,312.4,#N/A
Lewisporte,NL,37.3,#N/A
Biggar,SK,83.1,#N/A
Sicamous,BC,81.0,#N/A
La Loche,SK,"1,034.4",#N/A
Digby,NS,120.4,#N/A
Grey Bruce (Wiarton),ON,111.1,#N/A
North Bay (Mattawa),ON,74.7,#N/A
St. Anthony,NL,39.8,#N/A
Nanton,AB,113.5,#N/A
